Unit_name,Unit_level_manual
ROYALHAMPSHIRECOUNTYHOSPITAL,2
ROYALHOSPITALFORCHILDRENGLASGOW,3
ROYALHOSPITALFORCHILDRENGLASGOWNICU,3
ROYALHOSPITALFORCHILDRENNICU,3
ROYALHOSPITALFORSICKCHILDRENEDINBURGH,3
ROYALLANCASTERINFIRMARY,2
ROYALOLDHAMHOSPITAL,3
ROYALPRESTONHOSPITAL,3
ROYALSTOKEUNIVERSITYHOSPITAL,3
ROYALSURREYCOUNTYHOSPITAL,2
ROYALSUSSEXCOUNTYHOSPITAL,3
ROYALUNITEDHOSPITAL,2
ROYALVICTORIAINFIRMARY,3
RUSSELLSHALLHOSPITAL,2
SALISBURYDISTRICTHOSPITAL,2
SCUNTHORPEGENERALHOSPITAL,2
SIMPSONCENTREFORREPRODUCTIVEHEALTHEDINBURGH,3
SIMPSONCENTREFORREPRODUCTIVEHEALTHEDINBURGHNICU,3
SINGLETONHOSPITAL,3
SOUTHENDHOSPITAL,2
SOUTHMEADHOSPITAL,3
SOUTHTYNESIDEDISTRICTHOSPITAL,1
STEPPINGHILLHOSPITAL,2
STGEORGESHOSPITAL,3
STHELIERHOSPITAL,2
STJOHNSHOSPITALLIVINGSTONSCBU,1
STMARYSHOSPITALIOW,2
STMARYSHOSPITALLONDON,2
STMARYSHOSPITALMANCHESTER,2
STMICHAELSHOSPITAL,3
STOKEMANDEVILLEHOSPITAL,2
STPETERSHOSPITAL,3
STRICHARDSHOSPITAL,2
SUNDERLANDROYALHOSPITAL,3
TAMESIDEGENERALHOSPITAL,2
THEJESSOPWINGSHEFFIELD,3
THEROYALLONDONHOSPITAL,3
TUNBRIDGEWELLSHOSPITAL,2
UNIVERSITYCOLLEGEHOSPITAL,3
UNIVERSITYHOSPITALCOVENTRY,3
UNIVERSITYHOSPITALLEWISHAM,2
UNIVERSITYHOSPITALOFNORTHDURHAM,1
UNIVERSITYHOSPITALOFNORTHTEES,3
UNIVERSITYHOSPITALOFWALES,3
VICTORIAHOSPITALBLACKPOOL,2
VICTORIAHOSPITALFIFE,2
VICTORIAHOSPITALKIRKCALDYNICU,2
WARRINGTONHOSPITAL,2
WARWICKHOSPITAL,1
WATFORDGENERALHOSPITAL,2
