ReportYear,OrganisationCode,OrganisationName,CountryName,RegionName,SustainabilityAndTransformationPartnershipName,IntegratedCareBoardName,NeonatalNetworkName,Longitude,Latitude,TotalBirths,TotalStillbirths,CrudeStillbirthRate,CrudeStillbirthCategoryID,CrudeStillbirthCategoryName,StabilisedStillbirthRate,StabilisedStillbirthCategoryID,StabilisedStillbirthCategoryName,StabilisedStillbirthCI,TotalLiveBirths,TotalNeonatalDeaths,CrudeNeonatalDeathRate,CrudeNeonatalDeathCategoryID,CrudeNeonatalDeathCategoryName,StabilisedNeonatalDeathRate,StabilisedNeonatalDeathCategoryID,StabilisedNeonatalDeathCategoryName,StabilisedNeonatalDeathCI,TotalPerinatalDeaths,CrudePerinatalDeathRate,CrudePerinatalDeathCategoryID,CrudePerinatalDeathCategoryName,StabilisedPerinatalDeathRate,StabilisedPerinatalDeathCategoryID,StabilisedPerinatalDeathCategoryName,StabilisedPerinatalDeathCI,ComparatorGroupID,ComparatorGroupName,GroupAverageStillbirthRate,GroupAverageNeonatalDeathRate,GroupAveragePerinatalDeathRate
2022,219,Mersey and West Lancashire Teaching Hospitals NHS Trust,England,North West,,,North West (Cheshire and Merseyside),-2.786013334,53.42081276,6156,19,-1,0,Suppressed due to small numbers,3.18,4,Within 5%,2.73 to 3.66,6137,-1,-1,0,Suppressed due to small numbers,0.86,2,Over 15% lower,0.49 to 1.44,21,3.41,2,Over 15% lower,4.04,4,Within 5%,3.52 to 4.91,3,"4,000 or more births",3.18,1.08,4.25
2022,222,States of Jersey Health & Social Services,Crown Dependencies,,,,,-2.110228,49.185664,835,-1,-1,0,Suppressed due to small numbers,3.22,4,Within 5%,2.29 to 3.75,834,-1,-1,0,Suppressed due to small numbers,1,3,5 to 15% lower,0.44 to 2.02,-1,-1,0,Suppressed due to small numbers,4.21,4,Within 5%,3.18 to 5.25,5,"Under 2,000 births",3.23,1.07,4.3
2022,223,Stockport NHS Foundation Trust,England,North West,,,North West (Greater Manchester),-2.132019855,53.3837869,3283,8,-1,0,Suppressed due to small numbers,2.68,4,Within 5%,2.21 to 3.18,3275,-1,-1,0,Suppressed due to small numbers,0.85,2,Over 15% lower,0.47 to 1.48,9,2.74,2,Over 15% lower,3.49,3,5 to 15% lower,2.90 to 4.43,4,"2,000-3,999 births",2.68,1.05,3.73
2022,225,Surrey and Sussex Healthcare NHS Trust,England,South East,,,South East Coast,-0.161288084,51.21860711,4415,16,3.62,5,Over 5% higher,3.2,4,Within 5%,2.75 to 3.76,4399,3,0.68,2,Over 15% lower,0.97,3,5 to 15% lower,0.57 to 1.67,19,4.3,4,Within 5%,4.16,4,Within 5%,3.67 to 5.19,3,"4,000 or more births",3.18,1.08,4.25
2022,228,Tameside and Glossop Integrated Care NHS Foundation Trust,England,North West,,,North West (Greater Manchester),-2.071856536,53.49220377,2114,5,-1,0,Suppressed due to small numbers,2.68,4,Within 5%,2.21 to 3.14,2109,-1,-1,0,Suppressed due to small numbers,0.94,3,5 to 15% lower,0.53 to 1.70,6,2.84,2,Over 15% lower,3.6,4,Within 5%,3.03 to 4.58,4,"2,000-3,999 births",2.68,1.05,3.73
2022,229,Somerset NHS Foundation Trust,England,South West,,,South West,-2.63471,50.94484,4207,9,2.14,2,Over 15% lower,3.15,4,Within 5%,2.67 to 3.65,4198,3,0.71,2,Over 15% lower,1.03,4,Within 5%,0.57 to 1.80,12,2.85,2,Over 15% lower,4.18,4,Within 5%,3.60 to 5.16,3,"4,000 or more births",3.18,1.08,4.25
2022,234,The Dudley Group NHS Foundation Trust,England,Midlands,,,"Staffordshire, Shropshire and Black Country",-2.117749817,52.50230635,4141,11,2.66,2,Over 15% lower,3.14,4,Within 5%,2.63 to 3.64,4130,3,0.73,2,Over 15% lower,0.96,3,5 to 15% lower,0.56 to 1.61,14,3.38,2,Over 15% lower,4.09,4,Within 5%,3.55 to 5.12,3,"4,000 or more births",3.18,1.08,4.25
2022,235,The Hillingdon Hospitals NHS Foundation Trust,England,London,,,North West London,-0.460905351,51.52551554,3961,21,5.3,5,Over 5% higher,2.76,4,Within 5%,2.28 to 3.44,3940,3,0.76,2,Over 15% lower,0.96,3,5 to 15% lower,0.55 to 1.70,24,6.06,5,Over 5% higher,3.72,4,Within 5%,3.18 to 4.82,4,"2,000-3,999 births",2.68,1.05,3.73
2022,236,The Leeds Teaching Hospitals NHS Trust,England,North East and Yorkshire,,,Yorkshire & Humber,-1.551743589,53.8014452,8685,25,2.88,2,Over 15% lower,3.71,4,Within 5%,2.99 to 4.64,8660,40,4.62,5,Over 5% higher,4.46,5,Over 5% higher,3.14 to 6.45,65,7.48,5,Over 5% higher,8.03,5,Over 5% higher,6.68 to 10.22,1,Level 3 NICU & neonatal surgery,3.83,2.73,6.55
2022,237,Mid Yorkshire Teaching NHS Trust,England,North East and Yorkshire,,,Yorkshire & Humber,-1.651035523,53.70142312,5630,16,2.84,3,5 to 15% lower,3.15,4,Within 5%,2.63 to 3.65,5614,11,1.96,5,Over 5% higher,1.37,5,Over 5% higher,0.85 to 2.21,27,4.8,5,Over 5% higher,4.54,5,Over 5% higher,3.89 to 5.72,3,"4,000 or more births",3.18,1.08,4.25
