ReportYear,OrganisationCode,OrganisationName,CountryName,RegionName,SustainabilityAndTransformationPartnershipName,IntegratedCareBoardName,NeonatalNetworkName,Longitude,Latitude,TotalBirths,TotalStillbirths,CrudeStillbirthRate,CrudeStillbirthCategoryID,CrudeStillbirthCategoryName,StabilisedStillbirthRate,StabilisedStillbirthCategoryID,StabilisedStillbirthCategoryName,StabilisedStillbirthCI,TotalLiveBirths,TotalNeonatalDeaths,CrudeNeonatalDeathRate,CrudeNeonatalDeathCategoryID,CrudeNeonatalDeathCategoryName,StabilisedNeonatalDeathRate,StabilisedNeonatalDeathCategoryID,StabilisedNeonatalDeathCategoryName,StabilisedNeonatalDeathCI,TotalPerinatalDeaths,CrudePerinatalDeathRate,CrudePerinatalDeathCategoryID,CrudePerinatalDeathCategoryName,StabilisedPerinatalDeathRate,StabilisedPerinatalDeathCategoryID,StabilisedPerinatalDeathCategoryName,StabilisedPerinatalDeathCI,ComparatorGroupID,ComparatorGroupName,GroupAverageStillbirthRate,GroupAverageNeonatalDeathRate,GroupAveragePerinatalDeathRate
2017,3,Abertawe Bro Morgannwg University Health Board,Wales,,,,Wales,-3.933945798,51.68418201,5803,24,4.14,4,Within 5%,4.03,4,Within 5%,3.34 to 4.81,5779,9,1.56,2,Over 15% lower,2.02,4,Within 5%,1.35 to 3.05,33,5.69,3,5 to 15% lower,6.04,4,Within 5%,5.25 to 7.42,2,Level 3 NICU,3.95,2.09,6.03
2017,5,Airedale NHS Foundation Trust,England,,,,Yorkshire & Humber,-1.961204581,53.89781192,2118,-1,-1,0,Suppressed due to small numbers,3.17,4,Within 5%,2.54 to 3.73,2114,-1,-1,0,Suppressed due to small numbers,1,4,Within 5%,0.61 to 1.60,6,2.83,2,Over 15% lower,4.16,4,Within 5%,3.46 to 5.21,4,"2,000-3,999 births",3.23,1.03,4.25
2017,7,Aneurin Bevan University Health Board,Wales,,,,Wales,-2.996872205,51.57933784,5975,24,4.02,4,Within 5%,4.01,4,Within 5%,3.32 to 4.74,5951,3,0.5,2,Over 15% lower,1.5,2,Over 15% lower,0.90 to 2.36,27,4.52,2,Over 15% lower,5.5,3,5 to 15% lower,4.76 to 6.97,2,Level 3 NICU,3.95,2.09,6.03
2017,8,Ashford and St Peter's Hospital NHS Foundation Trust,England,,,,South East Coast,-0.471144646,51.44358925,3987,14,3.51,3,5 to 15% lower,3.96,4,Within 5%,3.23 to 4.74,3973,12,3.02,5,Over 5% higher,2.08,4,Within 5%,1.41 to 3.09,26,6.52,5,Over 5% higher,6.02,4,Within 5%,5.08 to 7.75,2,Level 3 NICU,3.95,2.09,6.03
2017,10,"Barking, Havering and Redbridge University Hospitals NHS Trust",England,,,,North Central & East London,0.113743699,51.58003897,8304,34,4.09,5,Over 5% higher,3.52,4,Within 5%,3.02 to 4.25,8270,9,1.09,3,5 to 15% lower,1.13,3,5 to 15% lower,0.76 to 1.72,43,5.18,5,Over 5% higher,4.65,4,Within 5%,4.14 to 5.70,3,"4,000 or more births",3.56,1.24,4.79
2017,13,Barnsley Hospital NHS Foundation Trust,England,,,,Yorkshire & Humber,-1.498046445,53.55806404,3029,-1,-1,0,Suppressed due to small numbers,3.21,4,Within 5%,2.62 to 3.83,3020,-1,-1,0,Suppressed due to small numbers,0.96,3,5 to 15% lower,0.56 to 1.57,11,3.63,3,5 to 15% lower,4.16,4,Within 5%,3.53 to 5.16,4,"2,000-3,999 births",3.23,1.03,4.25
2017,14,Barts Health NHS Trust,England,,,,North Central & East London,0.004262662,51.57832684,16064,83,5.17,5,Over 5% higher,4.14,4,Within 5%,3.54 to 4.96,15981,35,2.19,3,5 to 15% lower,2.16,3,5 to 15% lower,1.53 to 3.00,118,7.35,5,Over 5% higher,6.3,4,Within 5%,5.63 to 7.73,1,Level 3 NICU & neonatal surgery,4.19,2.34,6.52
2017,15,Basildon and Thurrock University Hospitals NHS Foundation Trust,England,,,,East of England,0.452231623,51.55717208,4568,14,3.06,3,5 to 15% lower,3.51,4,Within 5%,2.93 to 4.18,4554,4,0.88,2,Over 15% lower,1.12,3,5 to 15% lower,0.72 to 1.79,18,3.94,2,Over 15% lower,4.62,4,Within 5%,4.08 to 5.75,3,"4,000 or more births",3.56,1.24,4.79
2017,16,Bedford Hospital NHS Trust,England,,,,East of England,-0.459595717,52.14090316,2879,12,4.17,5,Over 5% higher,3.28,4,Within 5%,2.67 to 4.00,2867,7,2.44,5,Over 5% higher,1.33,5,Over 5% higher,0.80 to 2.19,19,6.6,5,Over 5% higher,4.61,5,Over 5% higher,3.90 to 5.77,4,"2,000-3,999 births",3.23,1.03,4.25
2017,17,Belfast Health and Social Care Trust,Northern Ireland,,,,Northern Ireland,-5.951850109,54.59432056,5472,37,6.76,5,Over 5% higher,4.56,5,Over 5% higher,3.59 to 5.98,5435,24,4.42,5,Over 5% higher,3.33,5,Over 5% higher,2.23 to 4.93,61,11.15,5,Over 5% higher,7.98,5,Over 5% higher,6.59 to 10.38,1,Level 3 NICU & neonatal surgery,4.19,2.34,6.52
2017,20,Betsi Cadwaladr University Health Board,Wales,,,,Wales,-4.158626642,53.20876481,6591,13,1.97,2,Over 15% lower,3.38,4,Within 5%,2.67 to 4.14,6578,11,1.67,5,Over 5% higher,1.33,5,Over 5% higher,0.88 to 2.09,24,3.64,2,Over 15% lower,4.74,4,Within 5%,3.98 to 5.95,3,"4,000 or more births",3.56,1.24,4.79
2017,22,Birmingham Women's and Children's NHS Foundation Trust,England,,,,Southern West Midlands,-1.940808709,52.45281222,8264,46,5.57,5,Over 5% higher,4.3,4,Within 5%,3.64 to 5.15,8218,30,3.65,5,Over 5% higher,2.79,5,Over 5% higher,2.01 to 3.86,76,9.2,5,Over 5% higher,7.1,5,Over 5% higher,6.19 to 8.73,1,Level 3 NICU & neonatal surgery,4.19,2.34,6.52
