ReportYear,OrganisationCode,OrganisationName,CountryName,RegionName,SustainabilityAndTransformationPartnershipName,IntegratedCareBoardName,NeonatalNetworkName,Longitude,Latitude,TotalBirths,TotalStillbirths,CrudeStillbirthRate,CrudeStillbirthCategoryID,CrudeStillbirthCategoryName,StabilisedStillbirthRate,StabilisedStillbirthCategoryID,StabilisedStillbirthCategoryName,StabilisedStillbirthCI,TotalLiveBirths,TotalNeonatalDeaths,CrudeNeonatalDeathRate,CrudeNeonatalDeathCategoryID,CrudeNeonatalDeathCategoryName,StabilisedNeonatalDeathRate,StabilisedNeonatalDeathCategoryID,StabilisedNeonatalDeathCategoryName,StabilisedNeonatalDeathCI,TotalPerinatalDeaths,CrudePerinatalDeathRate,CrudePerinatalDeathCategoryID,CrudePerinatalDeathCategoryName,StabilisedPerinatalDeathRate,StabilisedPerinatalDeathCategoryID,StabilisedPerinatalDeathCategoryName,StabilisedPerinatalDeathCI,ComparatorGroupID,ComparatorGroupName,GroupAverageStillbirthRate,GroupAverageNeonatalDeathRate,GroupAveragePerinatalDeathRate
2021,3,Swansea Bay University Health Board,Wales,Wales,,,Wales,-3.935120838,51.6846181,3483,11,3.16,2,Over 15% lower,3.86,4,Within 5%,3.00 to 4.98,3472,12,3.46,5,Over 5% higher,2.46,5,Over 5% higher,1.55 to 3.79,23,6.6,5,Over 5% higher,6.38,5,Over 5% higher,5.28 to 8.47,2,Level 3 NICU,3.92,1.96,5.87
2021,5,Airedale NHS Foundation Trust,England,North East and Yorkshire,,,Yorkshire & Humber,-1.962694662,53.89801502,1855,6,-1,0,Suppressed due to small numbers,2.73,4,Within 5%,1.75 to 3.99,1849,-1,-1,0,Suppressed due to small numbers,0.56,5,Over 5% higher,0.23 to 1.18,8,4.31,5,Over 5% higher,3.28,4,Within 5%,2.19 to 4.83,5,"Under 2,000 births",2.67,0.52,3.19
2021,7,Aneurin Bevan University Health Board,Wales,Wales,,,Wales,-2.998152313,51.57979804,5398,24,4.45,5,Over 5% higher,4.17,5,Over 5% higher,3.23 to 5.36,5374,5,0.93,2,Over 15% lower,1.66,2,Over 15% lower,1.05 to 2.51,29,5.37,3,5 to 15% lower,5.81,4,Within 5%,4.80 to 7.62,2,Level 3 NICU,3.92,1.96,5.87
2021,8,Ashford and St Peter's Hospital NHS Foundation Trust,England,South East,,,South East Coast,-0.472709324,51.44410155,3396,19,5.59,5,Over 5% higher,4.39,5,Over 5% higher,3.28 to 5.93,3377,6,1.78,3,5 to 15% lower,1.8,3,5 to 15% lower,1.16 to 2.72,25,7.36,5,Over 5% higher,6.06,4,Within 5%,4.93 to 7.97,2,Level 3 NICU,3.92,1.96,5.87
2021,10,"Barking, Havering and Redbridge University Hospitals NHS Trust",England,London,,,North Central & East London,0.112106859,51.58054479,7098,35,4.93,5,Over 5% higher,3.43,5,Over 5% higher,2.72 to 4.38,7063,7,0.99,3,5 to 15% lower,0.96,3,5 to 15% lower,0.62 to 1.52,42,5.92,5,Over 5% higher,4.36,4,Within 5%,3.67 to 5.60,3,"4,000 or more births",3.18,1.07,4.25
2021,13,Barnsley Hospital NHS Foundation Trust,England,North East and Yorkshire,,,Yorkshire & Humber,-1.499578108,53.55831397,2858,9,3.15,4,Within 5%,3.23,4,Within 5%,2.50 to 4.16,2849,5,1.76,5,Over 5% higher,1.17,5,Over 5% higher,0.76 to 1.93,14,4.9,5,Over 5% higher,4.41,4,Within 5%,3.67 to 5.82,4,"2,000-3,999 births",3.22,1.06,4.27
2021,14,Barts Health NHS Trust,England,London,,,North Central & East London,0.002638361,51.57883109,14552,64,4.4,5,Over 5% higher,3.65,3,5 to 15% lower,2.98 to 4.57,14488,26,1.79,2,Over 15% lower,2.26,3,5 to 15% lower,1.60 to 3.25,90,6.18,3,5 to 15% lower,5.92,3,5 to 15% lower,5.23 to 7.52,1,Level 3 NICU & neonatal surgery,4.01,2.57,6.57
2021,17,Belfast Health and Social Care Trust,Northern Ireland,Northern Ireland,,,Northern Ireland,-5.952873891,54.59439114,4919,33,6.71,5,Over 5% higher,4.89,5,Over 5% higher,3.66 to 6.86,4886,24,4.91,5,Over 5% higher,3.28,5,Over 5% higher,2.26 to 4.80,57,11.59,5,Over 5% higher,8.17,5,Over 5% higher,6.62 to 10.74,1,Level 3 NICU & neonatal surgery,4.01,2.57,6.57
2021,20,Betsi Cadwaladr University Health Board,Wales,Wales,,,Wales,-4.159825146,53.20901957,6064,19,3.13,4,Within 5%,3.23,4,Within 5%,2.47 to 4.16,6045,4,0.66,2,Over 15% lower,0.94,3,5 to 15% lower,0.62 to 1.52,23,3.79,3,5 to 15% lower,4.15,4,Within 5%,3.42 to 5.32,3,"4,000 or more births",3.18,1.07,4.25
2021,22,Birmingham Women's and Children's NHS Foundation Trust,England,Midlands,,,Southern West Midlands,-1.942243239,52.45318512,7642,39,5.1,5,Over 5% higher,4.11,4,Within 5%,3.34 to 5.19,7603,30,3.95,5,Over 5% higher,2.95,5,Over 5% higher,2.12 to 4.10,69,9.03,5,Over 5% higher,7.07,5,Over 5% higher,6.02 to 8.94,1,Level 3 NICU & neonatal surgery,4.01,2.57,6.57
