ReportYear,OrganisationCode,OrganisationName,CountryName,RegionName,SustainabilityAndTransformationPartnershipName,IntegratedCareBoardName,NeonatalNetworkName,Longitude,Latitude,TotalBirths,TotalStillbirths,CrudeStillbirthRate,CrudeStillbirthCategoryID,CrudeStillbirthCategoryName,StabilisedStillbirthRate,StabilisedStillbirthCategoryID,StabilisedStillbirthCategoryName,StabilisedStillbirthCI,TotalLiveBirths,TotalNeonatalDeaths,CrudeNeonatalDeathRate,CrudeNeonatalDeathCategoryID,CrudeNeonatalDeathCategoryName,StabilisedNeonatalDeathRate,StabilisedNeonatalDeathCategoryID,StabilisedNeonatalDeathCategoryName,StabilisedNeonatalDeathCI,TotalPerinatalDeaths,CrudePerinatalDeathRate,CrudePerinatalDeathCategoryID,CrudePerinatalDeathCategoryName,StabilisedPerinatalDeathRate,StabilisedPerinatalDeathCategoryID,StabilisedPerinatalDeathCategoryName,StabilisedPerinatalDeathCI,ComparatorGroupID,ComparatorGroupName,GroupAverageStillbirthRate,GroupAverageNeonatalDeathRate,GroupAveragePerinatalDeathRate
2024,5,Airedale NHS Foundation Trust,England,North East and Yorkshire,,,Yorkshire & Humber,-1.962694662,53.89801502,1787,-1,-1,0,Suppressed due to small numbers,2.56,4,Within 5%,1.92 to 3.37,1781,-1,-1,0,Suppressed due to small numbers,0.73,4,Within 5%,0.37 to 1.30,7,3.92,5,Over 5% higher,3.29,4,Within 5%,2.51 to 4.38,5,"Under 2,000 births",2.55,0.74,3.29
2024,7,Aneurin Bevan University Health Board,Wales,Wales,,,Wales,-2.998152313,51.57979804,5290,22,4.16,5,Over 5% higher,3.55,4,Within 5%,2.98 to 4.32,5268,8,1.52,2,Over 15% lower,1.93,4,Within 5%,1.23 to 2.94,30,5.67,4,Within 5%,5.48,4,Within 5%,4.72 to 7.02,2,Level 3 NICU,3.5,1.92,5.42
2024,8,Ashford and St Peter's Hospital NHS Foundation Trust,England,South East,,,"Kent, Surrey and Sussex",-0.472709324,51.44410155,2770,11,3.97,5,Over 5% higher,3.53,4,Within 5%,2.92 to 4.21,2759,4,1.45,2,Over 15% lower,1.61,2,Over 15% lower,1.06 to 2.54,15,5.42,4,Within 5%,4.99,3,5 to 15% lower,4.21 to 6.61,2,Level 3 NICU,3.5,1.92,5.42
2024,10,"Barking, Havering and Redbridge University Hospitals NHS Trust",England,London,,,London,0.112106859,51.58054479,7275,32,4.4,5,Over 5% higher,2.98,4,Within 5%,2.54 to 3.62,7243,7,0.97,3,5 to 15% lower,1.04,4,Within 5%,0.66 to 1.65,39,5.36,5,Over 5% higher,4.01,4,Within 5%,3.50 to 4.99,3,"4,000 or more births",2.93,1.04,3.96
2024,13,Barnsley Hospital NHS Foundation Trust,England,North East and Yorkshire,,,Yorkshire & Humber,-1.499578108,53.55831397,2897,-1,-1,0,Suppressed due to small numbers,2.85,4,Within 5%,2.39 to 3.28,2889,-1,-1,0,Suppressed due to small numbers,1.07,3,5 to 15% lower,0.66 to 1.76,10,3.45,3,5 to 15% lower,3.91,4,Within 5%,3.39 to 4.82,4,"2,000-3,999 births",2.85,1.12,3.96
2024,14,Barts Health NHS Trust,England,London,,,London,0.002638361,51.57883109,14395,55,3.82,5,Over 5% higher,3.44,4,Within 5%,2.87 to 4.13,14340,25,1.74,2,Over 15% lower,1.99,2,Over 15% lower,1.39 to 2.88,80,5.56,4,Within 5%,5.46,3,5 to 15% lower,4.80 to 6.85,1,Level 3 NICU & neonatal surgery,3.49,2.36,5.84
2024,118,Bedfordshire Hospitals NHS Foundation Trust,England,East of England,,,East of England,-0.474268944,51.89417721,8118,30,3.7,5,Over 5% higher,3.51,4,Within 5%,2.97 to 4.07,8088,14,1.73,3,5 to 15% lower,1.92,4,Within 5%,1.27 to 2.83,44,5.42,4,Within 5%,5.42,4,Within 5%,4.76 to 6.66,2,Level 3 NICU,3.5,1.92,5.42
2024,17,Belfast Health and Social Care Trust,Northern Ireland,Northern Ireland,,,Northern Ireland,-5.952873891,54.59439114,4595,22,4.79,5,Over 5% higher,3.56,4,Within 5%,2.90 to 4.45,4573,24,5.25,5,Over 5% higher,3.37,5,Over 5% higher,2.19 to 5.03,46,10.01,5,Over 5% higher,7.15,5,Over 5% higher,5.76 to 9.41,1,Level 3 NICU & neonatal surgery,3.49,2.36,5.84
2024,20,Betsi Cadwaladr University Health Board,Wales,Wales,,,Wales,-4.159825146,53.20901957,5587,17,3.04,4,Within 5%,2.94,4,Within 5%,2.57 to 3.47,5570,10,1.8,5,Over 5% higher,1.2,5,Over 5% higher,0.77 to 1.84,27,4.83,5,Over 5% higher,4.18,5,Over 5% higher,3.66 to 5.22,3,"4,000 or more births",2.93,1.04,3.96
2024,22,Birmingham Women's and Children's NHS Foundation Trust,England,Midlands,,,West Midlands,-1.942243239,52.45318512,7403,36,4.86,5,Over 5% higher,3.52,4,Within 5%,3.02 to 4.26,7367,49,6.65,5,Over 5% higher,4.13,5,Over 5% higher,2.94 to 6.02,85,11.48,5,Over 5% higher,7.78,5,Over 5% higher,6.64 to 10.10,1,Level 3 NICU & neonatal surgery,3.49,2.36,5.84
