ReportYear,OrganisationCode,OrganisationName,CountryName,RegionName,SustainabilityAndTransformationPartnershipName,IntegratedCareBoardName,NeonatalNetworkName,Longitude,Latitude,TotalBirths,TotalStillbirths,CrudeStillbirthRate,CrudeStillbirthCategoryID,CrudeStillbirthCategoryName,StabilisedStillbirthRate,StabilisedStillbirthCategoryID,StabilisedStillbirthCategoryName,StabilisedStillbirthCI,TotalLiveBirths,TotalNeonatalDeaths,CrudeNeonatalDeathRate,CrudeNeonatalDeathCategoryID,CrudeNeonatalDeathCategoryName,StabilisedNeonatalDeathRate,StabilisedNeonatalDeathCategoryID,StabilisedNeonatalDeathCategoryName,StabilisedNeonatalDeathCI,TotalPerinatalDeaths,CrudePerinatalDeathRate,CrudePerinatalDeathCategoryID,CrudePerinatalDeathCategoryName,StabilisedPerinatalDeathRate,StabilisedPerinatalDeathCategoryID,StabilisedPerinatalDeathCategoryName,StabilisedPerinatalDeathCI,ComparatorGroupID,ComparatorGroupName,GroupAverageStillbirthRate,GroupAverageNeonatalDeathRate,GroupAveragePerinatalDeathRate
2020,3,Swansea Bay University Health Board,Wales,Wales,,,Wales,-3.933945798,51.68418201,3420,20,5.85,5,Over 5% higher,4.34,5,Over 5% higher,3.34 to 6.00,3400,3,0.88,2,Over 15% lower,1.52,3,5 to 15% lower,0.98 to 2.34,23,6.73,5,Over 5% higher,5.82,5,Over 5% higher,4.72 to 7.91,2,Level 3 NICU,3.81,1.71,5.51
2020,5,Airedale NHS Foundation Trust,England,North East and Yorkshire,,,Yorkshire & Humber,-1.961204581,53.89781192,1872,-1,-1,0,Suppressed due to small numbers,3.23,4,Within 5%,2.47 to 4.07,1866,-1,-1,0,Suppressed due to small numbers,0.85,4,Within 5%,0.53 to 1.33,7,3.74,3,5 to 15% lower,4.08,4,Within 5%,3.33 to 5.13,4,"2,000-3,999 births",3.24,0.88,4.12
2020,7,Aneurin Bevan University Health Board,Wales,Wales,,,Wales,-2.996872205,51.57933784,5292,13,2.46,2,Over 15% lower,3.52,3,5 to 15% lower,2.69 to 4.57,5279,6,1.14,2,Over 15% lower,1.58,3,5 to 15% lower,1.05 to 2.40,19,3.59,2,Over 15% lower,5.09,3,5 to 15% lower,4.20 to 6.51,2,Level 3 NICU,3.81,1.71,5.51
2020,8,Ashford and St Peter's Hospital NHS Foundation Trust,England,South East,,,South East Coast,-0.471144646,51.44358925,3449,9,2.61,2,Over 15% lower,3.65,4,Within 5%,2.75 to 4.74,3440,9,2.62,5,Over 5% higher,1.83,5,Over 5% higher,1.25 to 2.85,18,5.22,3,5 to 15% lower,5.53,4,Within 5%,4.55 to 7.18,2,Level 3 NICU,3.81,1.71,5.51
2020,10,"Barking, Havering and Redbridge University Hospitals NHS Trust",England,London,,,North Central & East London,0.113743699,51.58003897,7263,25,3.44,5,Over 5% higher,3.01,4,Within 5%,2.39 to 3.81,7238,5,0.69,2,Over 15% lower,0.97,3,5 to 15% lower,0.61 to 1.49,30,4.13,4,Within 5%,3.98,4,Within 5%,3.27 to 5.02,3,"4,000 or more births",3.07,1.1,4.16
2020,13,Barnsley Hospital NHS Foundation Trust,England,North East and Yorkshire,,,Yorkshire & Humber,-1.498046445,53.55806404,2822,5,1.77,2,Over 15% lower,3.03,3,5 to 15% lower,2.26 to 4.05,2817,3,1.06,5,Over 5% higher,0.89,4,Within 5%,0.57 to 1.45,8,2.83,2,Over 15% lower,3.93,4,Within 5%,3.20 to 5.20,4,"2,000-3,999 births",3.24,0.88,4.12
2020,14,Barts Health NHS Trust,England,London,,,North Central & East London,0.004262662,51.57832684,14733,74,5.02,5,Over 5% higher,3.75,5,Over 5% higher,3.06 to 4.73,14659,26,1.77,2,Over 15% lower,1.92,2,Over 15% lower,1.39 to 2.70,100,6.79,5,Over 5% higher,5.7,4,Within 5%,4.88 to 7.13,1,Level 3 NICU & neonatal surgery,3.46,2.33,5.79
2020,17,Belfast Health and Social Care Trust,Northern Ireland,Northern Ireland,,,Northern Ireland,-5.951850109,54.59432056,4928,22,4.46,5,Over 5% higher,3.76,5,Over 5% higher,2.87 to 4.91,4906,27,5.5,5,Over 5% higher,3.46,5,Over 5% higher,2.29 to 5.11,49,9.94,5,Over 5% higher,7.36,5,Over 5% higher,5.89 to 9.54,1,Level 3 NICU & neonatal surgery,3.46,2.33,5.79
2020,20,Betsi Cadwaladr University Health Board,Wales,Wales,,,Wales,-4.158626642,53.20876481,5998,21,3.5,5,Over 5% higher,3.28,5,Over 5% higher,2.51 to 4.25,5977,5,0.84,2,Over 15% lower,0.98,3,5 to 15% lower,0.63 to 1.49,26,4.33,4,Within 5%,4.2,4,Within 5%,3.41 to 5.40,3,"4,000 or more births",3.07,1.1,4.16
2020,22,Birmingham Women's and Children's NHS Foundation Trust,England,Midlands,,,Southern West Midlands,-1.940808709,52.45281222,7971,26,3.26,3,5 to 15% lower,3.19,3,5 to 15% lower,2.53 to 4.11,7945,21,2.64,5,Over 5% higher,2.24,4,Within 5%,1.59 to 3.24,47,5.9,4,Within 5%,5.43,3,5 to 15% lower,4.63 to 6.97,1,Level 3 NICU & neonatal surgery,3.46,2.33,5.79
2020,26,Blackpool Teaching Hospitals NHS Foundation Trust,England,North West,,,North West (Lancashire and South Cumbria),-3.014905456,53.82047209,2628,9,3.42,5,Over 5% higher,3.27,4,Within 5%,2.57 to 4.35,2619,4,1.53,5,Over 5% higher,0.94,5,Over 5% higher,0.57 to 1.52,13,4.95,5,Over 5% higher,4.21,4,Within 5%,3.44 to 5.58,4,"2,000-3,999 births",3.24,0.88,4.12
2020,27,Bolton NHS Foundation Trust,England,North West,,,North West (Greater Manchester),-2.428765423,53.55417767,5779,20,3.46,3,5 to 15% lower,3.7,4,Within 5%,2.84 to 4.75,5759,6,1.04,2,Over 15% lower,1.54,3,5 to 15% lower,0.99 to 2.38,26,4.5,2,Over 15% lower,5.25,4,Within 5%,4.25 to 6.72,2,Level 3 NICU,3.81,1.71,5.51
2020,29,Bradford Teaching Hospitals NHS Foundation Trust,England,North East and Yorkshire,,,Yorkshire & Humber,-1.793372823,53.80566545,5133,35,6.82,5,Over 5% higher,4.32,5,Over 5% higher,3.31 to 5.86,5098,13,2.55,5,Over 5% higher,1.9,5,Over 5% higher,1.29 to 2.96,48,9.35,5,Over 5% higher,6.21,5,Over 5% higher,5.07 to 8.13,2,Level 3 NICU,3.81,1.71,5.51
