ReportYear,OrganisationCode,OrganisationName,CountryName,RegionName,SustainabilityAndTransformationPartnershipName,IntegratedCareBoardName,NeonatalNetworkName,Longitude,Latitude,TotalBirths,TotalStillbirths,CrudeStillbirthRate,CrudeStillbirthCategoryID,CrudeStillbirthCategoryName,StabilisedStillbirthRate,StabilisedStillbirthCategoryID,StabilisedStillbirthCategoryName,StabilisedStillbirthCI,TotalLiveBirths,TotalNeonatalDeaths,CrudeNeonatalDeathRate,CrudeNeonatalDeathCategoryID,CrudeNeonatalDeathCategoryName,StabilisedNeonatalDeathRate,StabilisedNeonatalDeathCategoryID,StabilisedNeonatalDeathCategoryName,StabilisedNeonatalDeathCI,TotalPerinatalDeaths,CrudePerinatalDeathRate,CrudePerinatalDeathCategoryID,CrudePerinatalDeathCategoryName,StabilisedPerinatalDeathRate,StabilisedPerinatalDeathCategoryID,StabilisedPerinatalDeathCategoryName,StabilisedPerinatalDeathCI,ComparatorGroupID,ComparatorGroupName,GroupAverageStillbirthRate,GroupAverageNeonatalDeathRate,GroupAveragePerinatalDeathRate
2019,5,Airedale NHS Foundation Trust,England,,,,Yorkshire & Humber,-1.961204581,53.89781192,2030,7,3.45,5,Over 5% higher,3.02,4,Within 5%,2.47 to 3.64,2023,5,2.47,5,Over 5% higher,1.21,5,Over 5% higher,0.71 to 2.24,12,5.91,5,Over 5% higher,4.29,5,Over 5% higher,3.59 to 5.71,4,"2,000-3,999 births",3.01,1.02,4.03
2019,7,Aneurin Bevan University Health Board,Wales,,,,Wales,-2.996872205,51.57933784,5710,28,4.9,5,Over 5% higher,4.14,4,Within 5%,3.47 to 5.28,5682,5,0.88,2,Over 15% lower,1.48,2,Over 15% lower,0.93 to 2.48,33,5.78,4,Within 5%,5.59,4,Within 5%,4.81 to 7.25,2,Level 3 NICU,4.01,1.84,5.84
2019,8,Ashford and St Peter's Hospital NHS Foundation Trust,England,,,,South East Coast,-0.471144646,51.44358925,3681,11,2.99,2,Over 15% lower,3.98,4,Within 5%,3.43 to 4.77,3670,14,3.81,5,Over 5% higher,2.36,5,Over 5% higher,1.52 to 3.80,25,6.79,5,Over 5% higher,6.51,5,Over 5% higher,5.37 to 8.74,2,Level 3 NICU,4.01,1.84,5.84
2019,10,"Barking, Havering and Redbridge University Hospitals NHS Trust",England,,,,North Central & East London,0.113743699,51.58003897,8235,35,4.25,5,Over 5% higher,3.03,4,Within 5%,2.58 to 3.60,8200,8,0.98,3,5 to 15% lower,0.98,3,5 to 15% lower,0.62 to 1.58,43,5.22,5,Over 5% higher,4.01,4,Within 5%,3.51 to 4.93,3,"4,000 or more births",2.96,1.09,4.05
2019,13,Barnsley Hospital NHS Foundation Trust,England,,,,Yorkshire & Humber,-1.498046445,53.55806404,2927,-1,-1,0,Suppressed due to small numbers,2.99,4,Within 5%,2.43 to 3.66,2919,-1,-1,0,Suppressed due to small numbers,0.88,3,5 to 15% lower,0.48 to 1.54,9,3.07,2,Over 15% lower,3.87,4,Within 5%,3.33 to 4.92,4,"2,000-3,999 births",3.01,1.02,4.03
2019,14,Barts Health NHS Trust,England,,,,North Central & East London,0.004262662,51.57832684,14592,73,5,5,Over 5% higher,3.65,4,Within 5%,3.09 to 4.52,14519,40,2.76,5,Over 5% higher,2.68,5,Over 5% higher,1.89 to 3.81,113,7.74,5,Over 5% higher,6.31,4,Within 5%,5.61 to 7.87,1,Level 3 NICU & neonatal surgery,3.55,2.5,6.05
2019,118,Bedfordshire Hospitals NHS Foundation Trust,England,,,,East of England,-0.472686206,51.89371712,8024,27,3.36,2,Over 15% lower,3.91,4,Within 5%,3.28 to 4.66,7997,15,1.88,4,Within 5%,1.9,4,Within 5%,1.26 to 2.97,42,5.23,3,5 to 15% lower,5.8,4,Within 5%,5.03 to 7.36,2,Level 3 NICU,4.01,1.84,5.84
2019,17,Belfast Health and Social Care Trust,Northern Ireland,,,,Northern Ireland,-5.951850109,54.59432056,5177,25,4.83,5,Over 5% higher,3.66,4,Within 5%,3.07 to 4.69,5152,36,6.99,5,Over 5% higher,4.49,5,Over 5% higher,3.12 to 6.61,61,11.78,5,Over 5% higher,8.48,5,Over 5% higher,7.02 to 11.20,1,Level 3 NICU & neonatal surgery,3.55,2.5,6.05
2019,20,Betsi Cadwaladr University Health Board,Wales,,,,Wales,-4.158626642,53.20876481,6298,28,4.45,5,Over 5% higher,3.11,5,Over 5% higher,2.52 to 4.07,6270,10,1.59,5,Over 5% higher,1.27,5,Over 5% higher,0.79 to 2.14,38,6.03,5,Over 5% higher,4.4,5,Over 5% higher,3.64 to 5.78,3,"4,000 or more births",2.96,1.09,4.05
2019,22,Birmingham Women's and Children's NHS Foundation Trust,England,,,,Southern West Midlands,-1.940808709,52.45281222,8161,37,4.53,5,Over 5% higher,3.59,4,Within 5%,3.03 to 4.28,8124,41,5.05,5,Over 5% higher,4.35,5,Over 5% higher,3.05 to 6.32,78,9.56,5,Over 5% higher,7.82,5,Over 5% higher,6.72 to 9.90,1,Level 3 NICU & neonatal surgery,3.55,2.5,6.05
