ReportYear,OrganisationCode,OrganisationName,CountryName,RegionName,SustainabilityAndTransformationPartnershipName,IntegratedCareBoardName,NeonatalNetworkName,Longitude,Latitude,TotalBirths,TotalStillbirths,CrudeStillbirthRate,CrudeStillbirthCategoryID,CrudeStillbirthCategoryName,StabilisedStillbirthRate,StabilisedStillbirthCategoryID,StabilisedStillbirthCategoryName,StabilisedStillbirthCI,TotalLiveBirths,TotalNeonatalDeaths,CrudeNeonatalDeathRate,CrudeNeonatalDeathCategoryID,CrudeNeonatalDeathCategoryName,StabilisedNeonatalDeathRate,StabilisedNeonatalDeathCategoryID,StabilisedNeonatalDeathCategoryName,StabilisedNeonatalDeathCI,TotalPerinatalDeaths,CrudePerinatalDeathRate,CrudePerinatalDeathCategoryID,CrudePerinatalDeathCategoryName,StabilisedPerinatalDeathRate,StabilisedPerinatalDeathCategoryID,StabilisedPerinatalDeathCategoryName,StabilisedPerinatalDeathCI,ComparatorGroupID,ComparatorGroupName,GroupAverageStillbirthRate,GroupAverageNeonatalDeathRate,GroupAveragePerinatalDeathRate
2023,3,Swansea Bay University Health Board,Wales,,,,Wales,-3.935120838,51.6846181,3337,16,4.79,5,Over 5% higher,3.73,4,Within 5%,3.03 to 4.80,3321,9,2.71,5,Over 5% higher,2.1,5,Over 5% higher,1.35 to 3.21,25,7.49,5,Over 5% higher,5.87,5,Over 5% higher,4.84 to 7.76,2,Level 3 NICU,3.6,1.84,5.44
2023,5,Airedale NHS Foundation Trust,England,,,,Yorkshire & Humber,-1.962694662,53.89801502,1816,5,2.75,5,Over 5% higher,2.58,4,Within 5%,1.82 to 3.55,1811,3,1.66,5,Over 5% higher,0.96,4,Within 5%,0.53 to 1.78,8,4.41,5,Over 5% higher,3.55,4,Within 5%,2.74 to 5.00,5,"Under 2,000 births",2.58,0.92,3.5
2023,7,Aneurin Bevan University Health Board,Wales,,,,Wales,-2.998152313,51.57979804,5272,17,3.22,3,5 to 15% lower,3.61,4,Within 5%,2.99 to 4.27,5255,10,1.9,4,Within 5%,2.01,5,Over 5% higher,1.35 to 3.14,27,5.12,3,5 to 15% lower,5.61,4,Within 5%,4.76 to 7.13,2,Level 3 NICU,3.6,1.84,5.44
2023,8,Ashford and St Peter's Hospital NHS Foundation Trust,England,,,,"Kent, Surrey and Sussex",-0.472709324,51.44410155,2972,8,2.69,2,Over 15% lower,3.58,4,Within 5%,2.89 to 4.22,2964,7,2.36,5,Over 5% higher,2,5,Over 5% higher,1.30 to 3.20,15,5.05,3,5 to 15% lower,5.59,4,Within 5%,4.65 to 7.24,2,Level 3 NICU,3.6,1.84,5.44
2023,10,"Barking, Havering and Redbridge University Hospitals NHS Trust",England,,,,London,0.112106859,51.58054479,6968,28,4.02,5,Over 5% higher,3.07,4,Within 5%,2.60 to 3.86,6940,13,1.87,5,Over 5% higher,1.33,5,Over 5% higher,0.82 to 2.12,41,5.88,5,Over 5% higher,4.37,5,Over 5% higher,3.74 to 5.59,3,"4,000 or more births",3.03,1.02,4.05
2023,13,Barnsley Hospital NHS Foundation Trust,England,,,,Yorkshire & Humber,-1.499578108,53.55831397,2916,7,2.4,2,Over 15% lower,2.9,4,Within 5%,2.41 to 3.45,2909,3,1.03,4,Within 5%,0.98,4,Within 5%,0.62 to 1.52,10,3.43,3,5 to 15% lower,3.87,4,Within 5%,3.35 to 4.88,4,"2,000-3,999 births",2.91,0.99,3.9
2023,14,Barts Health NHS Trust,England,,,,London,0.002638361,51.57883109,13951,62,4.44,5,Over 5% higher,3.44,4,Within 5%,2.92 to 4.16,13889,30,2.16,2,Over 15% lower,2.34,3,5 to 15% lower,1.63 to 3.38,92,6.59,5,Over 5% higher,5.8,4,Within 5%,5.15 to 7.24,1,Level 3 NICU & neonatal surgery,3.42,2.6,6.01
2023,17,Belfast Health and Social Care Trust,Northern Ireland,,,,Northern Ireland,-5.952873891,54.59439114,4739,14,2.95,3,5 to 15% lower,3.41,4,Within 5%,2.82 to 4.09,4725,19,4.02,5,Over 5% higher,2.97,5,Over 5% higher,2.03 to 4.32,33,6.96,5,Over 5% higher,6.46,5,Over 5% higher,5.38 to 8.34,1,Level 3 NICU & neonatal surgery,3.42,2.6,6.01
2023,20,Betsi Cadwaladr University Health Board,Wales,,,,Wales,-4.159825146,53.20901957,5779,14,2.42,2,Over 15% lower,3.01,4,Within 5%,2.54 to 3.64,5765,4,0.69,2,Over 15% lower,0.89,3,5 to 15% lower,0.54 to 1.40,18,3.11,2,Over 15% lower,3.86,4,Within 5%,3.27 to 4.84,3,"4,000 or more births",3.03,1.02,4.05
2023,22,Birmingham Women's and Children's NHS Foundation Trust,England,,,,West Midlands,-1.942243239,52.45318512,6929,28,4.04,5,Over 5% higher,3.4,4,Within 5%,2.92 to 4.02,6901,31,4.49,5,Over 5% higher,2.94,5,Over 5% higher,2.13 to 4.11,59,8.51,5,Over 5% higher,6.38,5,Over 5% higher,5.52 to 8.09,1,Level 3 NICU & neonatal surgery,3.42,2.6,6.01
