ReportYear,OrganisationCode,OrganisationName,CountryName,RegionName,SustainabilityAndTransformationPartnershipName,IntegratedCareBoardName,NeonatalNetworkName,Longitude,Latitude,TotalBirths,TotalStillbirths,CrudeStillbirthRate,CrudeStillbirthCategoryID,CrudeStillbirthCategoryName,StabilisedStillbirthRate,StabilisedStillbirthCategoryID,StabilisedStillbirthCategoryName,StabilisedStillbirthCI,TotalLiveBirths,TotalNeonatalDeaths,CrudeNeonatalDeathRate,CrudeNeonatalDeathCategoryID,CrudeNeonatalDeathCategoryName,StabilisedNeonatalDeathRate,StabilisedNeonatalDeathCategoryID,StabilisedNeonatalDeathCategoryName,StabilisedNeonatalDeathCI,TotalPerinatalDeaths,CrudePerinatalDeathRate,CrudePerinatalDeathCategoryID,CrudePerinatalDeathCategoryName,StabilisedPerinatalDeathRate,StabilisedPerinatalDeathCategoryID,StabilisedPerinatalDeathCategoryName,StabilisedPerinatalDeathCI,ComparatorGroupID,ComparatorGroupName,GroupAverageStillbirthRate,GroupAverageNeonatalDeathRate,GroupAveragePerinatalDeathRate
2018,5,Airedale NHS Foundation Trust,England,,,,Yorkshire & Humber,-1.961204581,53.89781192,2046,-1,-1,0,Suppressed due to small numbers,2.96,4,Within 5%,2.38 to 3.64,2041,-1,-1,0,Suppressed due to small numbers,1.07,4,Within 5%,0.63 to 1.81,7,3.42,2,Over 15% lower,4.02,4,Within 5%,3.36 to 5.17,4,"2,000-3,999 births",2.99,1.1,4.09
2018,7,Aneurin Bevan University Health Board,Wales,,,,Wales,-2.996872205,51.57933784,5778,29,5.02,5,Over 5% higher,4.22,5,Over 5% higher,3.39 to 5.32,5749,13,2.26,5,Over 5% higher,2.26,5,Over 5% higher,1.47 to 3.51,42,7.27,5,Over 5% higher,6.47,5,Over 5% higher,5.40 to 8.38,2,Level 3 NICU,3.95,1.92,5.86
2018,8,Ashford and St Peter's Hospital NHS Foundation Trust,England,,,,South East Coast,-0.471144646,51.44358925,3892,20,5.14,5,Over 5% higher,4.19,5,Over 5% higher,3.40 to 5.24,3872,11,2.84,5,Over 5% higher,1.94,4,Within 5%,1.29 to 3.06,31,7.97,5,Over 5% higher,6.08,4,Within 5%,5.11 to 8.00,2,Level 3 NICU,3.95,1.92,5.86
2018,10,"Barking, Havering and Redbridge University Hospitals NHS Trust",England,,,,North Central & East London,0.113743699,51.58003897,7913,30,3.79,5,Over 5% higher,3.31,4,Within 5%,2.73 to 3.92,7883,12,1.52,5,Over 5% higher,1.29,5,Over 5% higher,0.83 to 1.96,42,5.31,5,Over 5% higher,4.59,4,Within 5%,3.96 to 5.66,3,"4,000 or more births",3.38,1.21,4.58
2018,13,Barnsley Hospital NHS Foundation Trust,England,,,,Yorkshire & Humber,-1.498046445,53.55806404,2878,10,3.47,5,Over 5% higher,3.03,4,Within 5%,2.39 to 3.85,2868,6,2.09,5,Over 5% higher,1.32,5,Over 5% higher,0.79 to 2.32,16,5.56,5,Over 5% higher,4.36,5,Over 5% higher,3.57 to 5.81,4,"2,000-3,999 births",2.99,1.1,4.09
2018,14,Barts Health NHS Trust,England,,,,North Central & East London,0.004262662,51.57832684,15303,61,3.99,5,Over 5% higher,3.5,3,5 to 15% lower,2.87 to 4.40,15242,27,1.77,2,Over 15% lower,1.86,2,Over 15% lower,1.27 to 2.60,88,5.75,3,5 to 15% lower,5.37,3,5 to 15% lower,4.70 to 6.83,1,Level 3 NICU & neonatal surgery,3.76,2.36,6.12
2018,15,Basildon and Thurrock University Hospitals NHS Foundation Trust,England,,,,East of England,0.452231623,51.55717208,4603,12,2.61,2,Over 15% lower,3.27,4,Within 5%,2.60 to 4.00,4591,5,1.09,3,5 to 15% lower,1.15,4,Within 5%,0.73 to 1.83,17,3.69,2,Over 15% lower,4.42,4,Within 5%,3.69 to 5.55,3,"4,000 or more births",3.38,1.21,4.58
2018,16,Bedford Hospital NHS Trust,England,,,,East of England,-0.459595717,52.14090316,2848,-1,-1,0,Suppressed due to small numbers,2.95,4,Within 5%,2.38 to 3.67,2841,-1,-1,0,Suppressed due to small numbers,0.99,3,5 to 15% lower,0.56 to 1.69,8,2.81,2,Over 15% lower,3.95,4,Within 5%,3.30 to 5.01,4,"2,000-3,999 births",2.99,1.1,4.09
2018,17,Belfast Health and Social Care Trust,Northern Ireland,,,,Northern Ireland,-5.951850109,54.59432056,5455,18,3.3,3,5 to 15% lower,3.7,4,Within 5%,3.00 to 4.44,5437,26,4.78,5,Over 5% higher,3.57,5,Over 5% higher,2.39 to 5.37,44,8.07,5,Over 5% higher,7.37,5,Over 5% higher,6.08 to 9.60,1,Level 3 NICU & neonatal surgery,3.76,2.36,6.12
2018,20,Betsi Cadwaladr University Health Board,Wales,,,,Wales,-4.158626642,53.20876481,6590,22,3.34,4,Within 5%,3.41,4,Within 5%,2.79 to 4.19,6568,13,1.98,5,Over 5% higher,1.46,5,Over 5% higher,0.94 to 2.26,35,5.31,5,Over 5% higher,4.91,5,Over 5% higher,4.20 to 6.19,3,"4,000 or more births",3.38,1.21,4.58
